age_group,marital_status,children,role_level,official_work_hours,work_mode,commute_time,hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,sick_days_num,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,wlb_score,wlb_label
18-25,Married,1 child,Mid Level,11-7,Work From Home,30-60,35-40,11-15,4-5,11-15,5,1,4,Never,4+,<10,4+,4,4+,1,No travel,5,3-5,4,69,MODERATE
55+,Divorced,2 children,Mid Level,11-7,Work From Home,30-60,>50,1-5,4-5,16-20,3,1,5,Sometimes,1,<10,4+,4,4+,1,1 trip,2,3-5,4,67,MODERATE
55+,Divorced,2 children,Manager / Lead,9-5,Office Only,>2h,<35,None,6-8,0-5,1,3,2,Never,None,>45,None,0,None,3,1 trip,3,>15,1,97,GOOD
18-25,Divorced,No children,Manager / Lead,Night,Hybrid,30-60,45-50,>15,6-8,16-20,4,1,3,Always,3,<10,1,1,None,2,1 trip,4,>15,5,70,GOOD
18-25,Single,No children,Manager / Lead,10-6,Office Only,30-60,45-50,>15,>8,>20,5,3,4,Rarely,1,20-30,2,2,None,2,No travel,5,<3,1,31,POOR
18-25,Married,3+ children,Entry Level,9-5,Work From Home,1-2h,>50,1-5,1,6-10,1,5,1,Often,1,<10,None,0,None,5,1 trip,4,>15,1,74,GOOD
18-25,Single,2 children,Mid Level,11-7,Work From Home,No commute,45-50,1-5,4-5,11-15,4,5,4,Sometimes,None,30-45,1,1,2,3,3 trips,3,>15,5,80,GOOD
26-35,Divorced,3+ children,Mid Level,Rotational,Office Only,<30,35-40,1-5,2-3,>20,1,5,4,Sometimes,1,20-30,4+,4,1,1,3 trips,1,>15,4,84,GOOD
18-25,Widowed,No children,Senior Level,11-7,Office Only,<30,<35,6-10,4-5,6-10,3,3,3,Never,2,<10,3,3,None,2,1 trip,3,11-15,1,75,GOOD
18-25,Married,No children,Executive / Director,8-4,Work From Home,>2h,40-45,11-15,>8,>20,4,2,4,Never,1,20-30,1,1,4+,3,2 trips,5,6-10,3,56,MODERATE
18-25,Single,1 child,Entry Level,9-5,Hybrid,<30,>50,11-15,1,>20,4,3,1,Never,1,10-20,2,2,None,4,No travel,1,11-15,5,48,MODERATE
18-25,Widowed,3+ children,Mid Level,10-6,Work From Home,>2h,35-40,11-15,2-3,>20,4,3,4,Always,2,30-45,3,3,1,3,1 trip,1,3-5,5,56,MODERATE
46-55,Divorced,2 children,Entry Level,8-4,Hybrid,30-60,>50,>15,2-3,11-15,5,5,5,Rarely,3,10-20,None,0,1,1,1 trip,5,6-10,2,54,MODERATE
36-45,Married,2 children,Entry Level,9-5,Office Only,30-60,45-50,11-15,2-3,0-5,5,5,5,Always,1,30-45,4+,4,3,1,No travel,2,6-10,1,53,MODERATE
18-25,Widowed,3+ children,Senior Level,11-7,Work From Home,1-2h,>50,6-10,6-8,16-20,3,4,3,Sometimes,None,10-20,3,3,1,3,>3 trips,3,6-10,1,43,MODERATE
55+,Married,2 children,Entry Level,9-5,Office Only,1-2h,45-50,>15,1,6-10,4,3,1,Rarely,4+,30-45,1,1,2,5,1 trip,2,3-5,3,49,MODERATE
46-55,Single,1 child,Executive / Director,11-7,Office Only,30-60,>50,None,6-8,6-10,2,3,5,Always,4+,>45,None,0,1,2,No travel,4,>15,4,100,GOOD
36-45,Married,1 child,Entry Level,8-4,Hybrid,1-2h,40-45,6-10,1,0-5,2,3,2,Often,1,<10,3,3,2,3,3 trips,2,11-15,1,74,GOOD
55+,Married,2 children,Mid Level,Night,Hybrid,<30,<35,>15,4-5,0-5,5,3,5,Sometimes,1,20-30,None,0,1,1,>3 trips,5,3-5,1,64,MODERATE
18-25,Married,No children,Mid Level,8-4,Work From Home,No commute,<35,11-15,4-5,>20,5,3,2,Often,None,<10,4+,4,3,3,2 trips,4,3-5,5,45,MODERATE
26-35,Divorced,2 children,Manager / Lead,Rotational,Work From Home,30-60,<35,1-5,6-8,6-10,1,3,2,Always,4+,<10,3,3,4+,3,No travel,5,6-10,5,90,GOOD
36-45,Widowed,2 children,Senior Level,11-7,Office Only,1-2h,>50,11-15,6-8,0-5,4,5,1,Often,2,10-20,1,1,1,5,>3 trips,4,3-5,3,42,MODERATE
18-25,Single,3+ children,Mid Level,Night,Office Only,No commute,35-40,1-5,2-3,6-10,3,4,4,Sometimes,1,<10,1,1,1,1,2 trips,5,>15,2,97,GOOD
36-45,Widowed,3+ children,Senior Level,8-4,Hybrid,1-2h,45-50,None,6-8,6-10,2,4,3,Rarely,1,10-20,2,2,1,3,2 trips,3,6-10,5,81,GOOD
36-45,Widowed,1 child,Entry Level,11-7,Work From Home,>2h,40-45,None,1,>20,3,2,3,Never,4+,<10,4+,4,4+,4,No travel,1,11-15,5,83,GOOD
46-55,Single,1 child,Senior Level,10-6,Work From Home,No commute,45-50,11-15,4-5,16-20,5,4,2,Rarely,3,10-20,3,3,1,3,3 trips,4,6-10,4,51,MODERATE
18-25,Single,1 child,Senior Level,Rotational,Office Only,>2h,>50,6-10,6-8,16-20,4,4,2,Often,4+,30-45,4+,4,3,4,2 trips,1,6-10,3,45,MODERATE
36-45,Married,2 children,Executive / Director,11-7,Office Only,No commute,<35,>15,>8,>20,5,1,5,Rarely,1,<10,None,0,3,1,2 trips,1,3-5,4,57,MODERATE
18-25,Widowed,2 children,Senior Level,10-6,Hybrid,1-2h,45-50,None,4-5,>20,1,2,2,Rarely,1,>45,None,0,2,5,No travel,5,11-15,3,80,GOOD
26-35,Single,No children,Entry Level,Night,Office Only,>2h,45-50,None,2-3,6-10,2,3,1,Never,None,>45,3,3,4+,5,No travel,4,>15,2,76,GOOD
26-35,Divorced,3+ children,Entry Level,8-4,Work From Home,30-60,35-40,None,2-3,11-15,3,3,5,Often,1,30-45,3,3,1,1,1 trip,5,<3,1,80,GOOD
18-25,Single,3+ children,Mid Level,Rotational,Hybrid,1-2h,40-45,1-5,4-5,6-10,4,1,2,Sometimes,2,>45,None,0,4+,3,>3 trips,5,<3,3,82,GOOD
55+,Married,3+ children,Entry Level,8-4,Office Only,<30,<35,None,1,0-5,1,1,6,Sometimes,2,20-30,1,1,1,1,3 trips,2,<3,4,100,GOOD
55+,Married,1 child,Manager / Lead,10-6,Office Only,30-60,40-45,11-15,>8,16-20,4,3,2,Often,None,>45,3,3,4+,4,2 trips,2,6-10,2,41,MODERATE
18-25,Married,No children,Mid Level,11-7,Hybrid,No commute,35-40,1-5,4-5,>20,3,2,4,Always,3,30-45,1,1,1,3,2 trips,3,6-10,4,84,GOOD
55+,Divorced,No children,Senior Level,Night,Office Only,<30,<35,6-10,6-8,6-10,3,2,4,Often,4+,10-20,None,0,1,3,2 trips,5,6-10,2,85,GOOD
26-35,Divorced,2 children,Senior Level,Rotational,Hybrid,>2h,45-50,11-15,6-8,6-10,4,5,3,Never,None,10-20,1,1,None,3,2 trips,5,>15,2,60,MODERATE
18-25,Widowed,1 child,Manager / Lead,10-6,Work From Home,<30,>50,1-5,6-8,16-20,2,2,2,Sometimes,2,>45,None,0,1,4,>3 trips,5,6-10,4,73,GOOD
55+,Widowed,2 children,Entry Level,Rotational,Office Only,No commute,>50,>15,2-3,>20,4,1,3,Sometimes,4+,<10,2,2,3,3,3 trips,2,11-15,5,55,MODERATE
18-25,Single,2 children,Mid Level,Night,Office Only,1-2h,>50,None,4-5,>20,2,5,3,Sometimes,2,10-20,1,1,1,4,1 trip,2,>15,1,68,MODERATE
55+,Single,1 child,Entry Level,10-6,Work From Home,30-60,<35,None,2-3,0-5,3,3,4,Sometimes,1,10-20,3,3,3,3,>3 trips,4,11-15,2,90,GOOD
55+,Divorced,No children,Entry Level,8-4,Office Only,>2h,35-40,None,1,6-10,1,3,2,Never,3,10-20,1,1,4+,3,No travel,5,>15,4,100,GOOD
55+,Single,1 child,Executive / Director,9-5,Work From Home,>2h,45-50,None,>8,11-15,4,2,4,Always,4+,10-20,4+,4,1,3,2 trips,1,3-5,3,69,MODERATE
46-55,Widowed,No children,Senior Level,10-6,Hybrid,<30,45-50,11-15,4-5,>20,4,5,4,Sometimes,4+,>45,1,1,None,3,3 trips,4,11-15,1,55,MODERATE
18-25,Divorced,2 children,Executive / Director,9-5,Hybrid,>2h,40-45,11-15,>8,6-10,4,4,3,Sometimes,4+,>45,None,0,4+,3,2 trips,4,6-10,4,70,GOOD
46-55,Married,No children,Mid Level,9-5,Work From Home,30-60,>50,None,2-3,16-20,4,5,4,Sometimes,2,10-20,2,2,3,3,1 trip,4,<3,3,61,MODERATE
36-45,Divorced,3+ children,Senior Level,Rotational,Work From Home,30-60,35-40,1-5,6-8,6-10,3,4,1,Rarely,2,<10,3,3,4+,4,No travel,5,3-5,1,64,MODERATE
46-55,Widowed,2 children,Entry Level,Rotational,Work From Home,1-2h,40-45,11-15,1,16-20,4,5,3,Often,None,>45,2,2,4+,3,3 trips,1,3-5,2,46,MODERATE
26-35,Widowed,2 children,Senior Level,Night,Office Only,<30,<35,None,6-8,11-15,1,4,5,Never,1,>45,1,1,4+,1,2 trips,5,3-5,4,93,GOOD
18-25,Single,No children,Executive / Director,10-6,Work From Home,No commute,40-45,1-5,>8,6-10,2,3,3,Sometimes,None,>45,4+,4,4+,3,1 trip,5,6-10,2,68,MODERATE
46-55,Married,2 children,Manager / Lead,8-4,Work From Home,>2h,>50,None,>8,11-15,1,3,3,Always,None,30-45,3,3,4+,4,3 trips,2,<3,2,55,MODERATE
46-55,Single,2 children,Mid Level,9-5,Work From Home,>2h,45-50,>15,2-3,11-15,5,3,1,Rarely,4+,20-30,1,1,3,5,2 trips,2,3-5,1,39,POOR
55+,Single,3+ children,Manager / Lead,8-4,Hybrid,>2h,35-40,None,>8,16-20,2,2,3,Always,2,>45,4+,4,4+,3,No travel,5,<3,3,72,GOOD
36-45,Married,No children,Senior Level,9-5,Hybrid,30-60,40-45,1-5,6-8,6-10,3,5,3,Never,4+,30-45,3,3,None,2,2 trips,2,3-5,2,72,GOOD
46-55,Divorced,1 child,Mid Level,8-4,Office Only,1-2h,>50,11-15,4-5,16-20,5,1,2,Always,4+,>45,None,0,None,3,>3 trips,5,11-15,4,67,MODERATE
18-25,Married,1 child,Executive / Director,8-4,Hybrid,<30,45-50,>15,6-8,16-20,5,1,1,Never,1,>45,2,2,2,4,1 trip,5,>15,3,49,MODERATE
36-45,Divorced,3+ children,Senior Level,10-6,Hybrid,No commute,<35,>15,6-8,>20,4,3,3,Rarely,None,>45,4+,4,1,2,No travel,2,<3,3,34,POOR
46-55,Single,1 child,Entry Level,Night,Work From Home,30-60,35-40,1-5,1,6-10,3,4,5,Never,3,<10,1,1,3,2,3 trips,2,>15,2,99,GOOD
18-25,Married,1 child,Executive / Director,8-4,Work From Home,30-60,<35,6-10,>8,11-15,3,3,3,Often,2,>45,None,0,4+,2,No travel,2,11-15,3,82,GOOD
26-35,Married,2 children,Executive / Director,11-7,Work From Home,1-2h,35-40,>15,6-8,6-10,5,3,2,Never,None,>45,1,1,1,5,1 trip,5,>15,2,53,MODERATE
18-25,Married,1 child,Manager / Lead,10-6,Office Only,30-60,40-45,>15,6-8,0-5,4,5,5,Always,1,30-45,2,2,None,2,>3 trips,5,11-15,1,57,MODERATE
55+,Married,1 child,Manager / Lead,Rotational,Office Only,<30,<35,6-10,>8,11-15,3,3,3,Always,3,<10,3,3,3,4,>3 trips,2,6-10,1,61,MODERATE
46-55,Divorced,No children,Entry Level,9-5,Work From Home,1-2h,40-45,None,1,0-5,1,5,2,Rarely,2,30-45,None,0,3,5,No travel,4,6-10,4,92,GOOD
18-25,Married,1 child,Mid Level,Night,Office Only,1-2h,40-45,6-10,2-3,16-20,1,3,1,Always,1,30-45,None,0,4+,4,2 trips,3,<3,5,70,GOOD
55+,Single,2 children,Manager / Lead,11-7,Hybrid,30-60,<35,>15,>8,11-15,5,2,2,Rarely,4+,30-45,2,2,1,4,2 trips,2,>15,3,60,MODERATE
18-25,Single,1 child,Entry Level,8-4,Office Only,1-2h,40-45,11-15,2-3,16-20,5,1,4,Never,None,20-30,2,2,2,3,1 trip,1,6-10,1,54,MODERATE
55+,Single,2 children,Executive / Director,11-7,Work From Home,1-2h,40-45,1-5,>8,16-20,3,4,4,Sometimes,1,20-30,2,2,3,3,No travel,1,3-5,2,62,MODERATE
26-35,Single,1 child,Manager / Lead,9-5,Hybrid,>2h,<35,>15,>8,11-15,5,1,2,Always,2,10-20,None,0,None,5,2 trips,2,<3,2,45,MODERATE
46-55,Married,2 children,Manager / Lead,10-6,Office Only,1-2h,>50,11-15,6-8,>20,5,4,4,Sometimes,4+,20-30,None,0,2,3,2 trips,1,>15,2,55,MODERATE
46-55,Married,No children,Entry Level,10-6,Hybrid,1-2h,45-50,None,2-3,0-5,4,3,1,Rarely,1,>45,None,0,3,4,3 trips,2,>15,1,85,GOOD
18-25,Divorced,1 child,Executive / Director,10-6,Office Only,30-60,35-40,None,6-8,16-20,3,2,4,Sometimes,3,30-45,4+,4,2,1,>3 trips,4,3-5,4,84,GOOD
55+,Widowed,1 child,Mid Level,Rotational,Hybrid,<30,45-50,6-10,2-3,>20,1,5,4,Often,2,20-30,2,2,3,2,2 trips,3,11-15,5,74,GOOD
36-45,Widowed,3+ children,Entry Level,8-4,Hybrid,>2h,<35,None,1,16-20,1,3,1,Sometimes,4+,>45,1,1,None,4,>3 trips,2,11-15,3,95,GOOD
36-45,Divorced,2 children,Entry Level,11-7,Work From Home,<30,35-40,1-5,1,6-10,3,3,3,Never,None,>45,4+,4,2,3,2 trips,4,<3,5,74,GOOD
55+,Single,No children,Executive / Director,9-5,Work From Home,30-60,45-50,>15,6-8,11-15,4,3,3,Sometimes,1,20-30,2,2,2,4,No travel,5,3-5,2,37,POOR
55+,Divorced,1 child,Manager / Lead,11-7,Office Only,No commute,>50,>15,6-8,0-5,4,4,4,Sometimes,3,20-30,2,2,2,2,2 trips,2,>15,4,60,MODERATE
46-55,Single,2 children,Executive / Director,Rotational,Work From Home,No commute,45-50,>15,6-8,6-10,5,3,3,Sometimes,4+,10-20,2,2,1,2,1 trip,2,3-5,3,50,MODERATE
55+,Divorced,1 child,Entry Level,10-6,Work From Home,30-60,35-40,6-10,2-3,>20,4,3,2,Always,4+,30-45,4+,4,1,4,>3 trips,4,<3,5,59,MODERATE
18-25,Single,3+ children,Entry Level,10-6,Work From Home,No commute,>50,11-15,1,11-15,5,1,4,Sometimes,1,10-20,None,0,3,2,No travel,5,<3,3,59,MODERATE
26-35,Single,1 child,Entry Level,Night,Office Only,30-60,35-40,None,2-3,11-15,3,5,4,Rarely,1,>45,2,2,None,1,3 trips,4,>15,4,98,GOOD
36-45,Divorced,3+ children,Senior Level,8-4,Office Only,<30,40-45,11-15,6-8,11-15,4,2,3,Rarely,3,20-30,2,2,2,2,No travel,3,11-15,3,70,GOOD
36-45,Married,3+ children,Mid Level,Rotational,Office Only,1-2h,45-50,11-15,2-3,16-20,4,5,4,Rarely,4+,20-30,3,3,3,3,2 trips,3,3-5,3,50,MODERATE
55+,Divorced,3+ children,Manager / Lead,9-5,Work From Home,1-2h,45-50,6-10,6-8,>20,1,3,2,Often,4+,30-45,1,1,3,4,>3 trips,1,11-15,4,71,GOOD
36-45,Widowed,3+ children,Entry Level,8-4,Hybrid,1-2h,35-40,None,2-3,>20,3,3,1,Often,3,10-20,1,1,1,5,1 trip,2,>15,5,89,GOOD
36-45,Married,3+ children,Mid Level,9-5,Office Only,<30,45-50,1-5,4-5,6-10,1,4,2,Rarely,1,>45,2,2,3,4,3 trips,2,<3,2,64,MODERATE
55+,Divorced,2 children,Entry Level,11-7,Work From Home,No commute,45-50,1-5,2-3,>20,2,3,3,Often,4+,>45,4+,4,4+,3,3 trips,1,<3,5,66,MODERATE
36-45,Widowed,No children,Executive / Director,10-6,Office Only,>2h,40-45,6-10,6-8,11-15,1,1,1,Never,2,30-45,4+,4,2,5,>3 trips,2,11-15,5,70,GOOD
26-35,Divorced,No children,Senior Level,Night,Work From Home,No commute,<35,11-15,4-5,11-15,4,4,2,Rarely,2,<10,1,1,2,3,>3 trips,2,11-15,4,69,MODERATE
18-25,Widowed,3+ children,Entry Level,Rotational,Work From Home,No commute,45-50,None,1,11-15,2,1,3,Sometimes,4+,20-30,3,3,3,2,3 trips,1,6-10,2,88,GOOD
55+,Divorced,3+ children,Manager / Lead,11-7,Hybrid,>2h,>50,6-10,6-8,16-20,3,4,3,Always,3,20-30,None,0,2,4,>3 trips,5,<3,4,56,MODERATE
46-55,Divorced,No children,Senior Level,Rotational,Hybrid,1-2h,45-50,None,4-5,0-5,4,4,1,Never,3,10-20,None,0,1,4,3 trips,2,3-5,3,78,GOOD
55+,Divorced,2 children,Executive / Director,8-4,Office Only,30-60,40-45,>15,>8,0-5,5,4,3,Never,1,30-45,3,3,2,2,2 trips,4,3-5,2,43,MODERATE
26-35,Single,3+ children,Entry Level,Night,Work From Home,<30,<35,1-5,1,11-15,1,5,2,Rarely,2,>45,4+,4,1,3,1 trip,4,6-10,4,79,GOOD
55+,Divorced,3+ children,Entry Level,11-7,Hybrid,1-2h,<35,11-15,1,11-15,5,4,1,Always,1,<10,None,0,4+,5,3 trips,4,3-5,4,57,MODERATE
46-55,Married,3+ children,Manager / Lead,Rotational,Work From Home,30-60,40-45,6-10,>8,6-10,4,3,2,Sometimes,None,20-30,1,1,1,3,1 trip,2,3-5,4,63,MODERATE
55+,Widowed,3+ children,Senior Level,11-7,Office Only,No commute,35-40,None,4-5,16-20,3,3,3,Sometimes,1,20-30,4+,4,3,2,No travel,3,>15,3,85,GOOD
55+,Divorced,3+ children,Entry Level,8-4,Hybrid,30-60,40-45,1-5,2-3,16-20,1,4,4,Always,3,10-20,None,0,4+,2,No travel,2,11-15,4,96,GOOD
26-35,Single,No children,Manager / Lead,11-7,Office Only,30-60,45-50,11-15,>8,0-5,4,5,2,Often,1,10-20,None,0,3,4,3 trips,2,>15,3,62,MODERATE
36-45,Single,No children,Manager / Lead,9-5,Work From Home,<30,35-40,1-5,>8,6-10,1,2,3,Always,4+,<10,None,0,1,3,2 trips,4,>15,1,100,GOOD
55+,Married,3+ children,Manager / Lead,Night,Office Only,30-60,<35,1-5,>8,11-15,2,4,3,Always,1,20-30,3,3,None,4,No travel,1,11-15,3,72,GOOD
26-35,Single,No children,Executive / Director,9-5,Work From Home,30-60,40-45,1-5,>8,0-5,1,2,3,Always,4+,20-30,4+,4,3,2,2 trips,4,>15,3,95,GOOD
55+,Married,1 child,Manager / Lead,Night,Office Only,>2h,<35,1-5,6-8,16-20,2,3,2,Rarely,3,20-30,1,1,3,4,1 trip,1,<3,4,74,GOOD
26-35,Single,No children,Executive / Director,11-7,Office Only,No commute,35-40,1-5,>8,11-15,1,2,2,Rarely,3,10-20,1,1,4+,3,1 trip,3,<3,2,79,GOOD
55+,Single,3+ children,Senior Level,11-7,Work From Home,No commute,35-40,1-5,6-8,11-15,3,1,3,Always,3,10-20,1,1,4+,2,>3 trips,2,3-5,5,90,GOOD
36-45,Widowed,1 child,Senior Level,Rotational,Hybrid,1-2h,<35,None,4-5,16-20,2,5,1,Always,3,10-20,1,1,2,5,No travel,5,3-5,5,78,GOOD
46-55,Widowed,No children,Senior Level,11-7,Work From Home,1-2h,45-50,11-15,4-5,0-5,4,5,2,Often,2,>45,4+,4,None,4,No travel,5,<3,3,43,MODERATE
46-55,Widowed,2 children,Mid Level,11-7,Work From Home,No commute,<35,1-5,4-5,16-20,2,2,4,Sometimes,2,20-30,2,2,1,1,>3 trips,1,<3,5,86,GOOD
36-45,Married,3+ children,Mid Level,10-6,Hybrid,<30,>50,11-15,4-5,16-20,4,4,4,Often,4+,20-30,3,3,3,3,1 trip,4,11-15,4,55,MODERATE
36-45,Single,2 children,Manager / Lead,11-7,Hybrid,<30,<35,6-10,>8,6-10,4,4,5,Never,2,30-45,4+,4,None,1,>3 trips,5,>15,1,75,GOOD
55+,Widowed,1 child,Senior Level,Rotational,Office Only,30-60,45-50,6-10,4-5,16-20,4,4,3,Rarely,1,20-30,4+,4,3,2,>3 trips,4,>15,3,63,MODERATE
36-45,Widowed,No children,Executive / Director,9-5,Work From Home,>2h,35-40,None,>8,6-10,2,1,3,Often,2,20-30,1,1,None,3,1 trip,2,11-15,1,92,GOOD
46-55,Divorced,2 children,Manager / Lead,9-5,Hybrid,>2h,35-40,1-5,6-8,0-5,2,1,2,Always,None,30-45,3,3,2,4,>3 trips,4,>15,1,83,GOOD
18-25,Married,3+ children,Senior Level,9-5,Office Only,No commute,35-40,>15,6-8,16-20,4,1,5,Rarely,2,20-30,4+,4,4+,1,1 trip,4,11-15,4,64,MODERATE
36-45,Married,2 children,Executive / Director,Night,Office Only,<30,40-45,6-10,6-8,>20,4,4,4,Always,1,30-45,2,2,3,2,1 trip,3,6-10,4,63,MODERATE
26-35,Single,No children,Mid Level,11-7,Office Only,No commute,40-45,None,4-5,6-10,2,5,3,Sometimes,None,<10,4+,4,3,4,2 trips,1,>15,5,81,GOOD
46-55,Divorced,2 children,Manager / Lead,11-7,Hybrid,<30,35-40,None,6-8,6-10,4,1,6,Never,3,30-45,3,3,None,1,3 trips,5,6-10,3,96,GOOD
26-35,Widowed,No children,Manager / Lead,9-5,Work From Home,30-60,45-50,None,6-8,6-10,3,2,3,Never,3,<10,None,0,2,3,3 trips,5,<3,4,86,GOOD
55+,Divorced,3+ children,Mid Level,9-5,Work From Home,<30,>50,>15,2-3,16-20,5,5,3,Rarely,None,<10,4+,4,2,3,3 trips,3,3-5,2,21,POOR
26-35,Divorced,No children,Mid Level,11-7,Office Only,No commute,40-45,>15,2-3,11-15,4,2,3,Often,2,10-20,2,2,2,2,2 trips,3,6-10,5,64,MODERATE
36-45,Married,1 child,Senior Level,Rotational,Office Only,>2h,35-40,11-15,4-5,11-15,5,3,2,Never,2,30-45,3,3,None,4,3 trips,3,3-5,2,48,MODERATE
36-45,Married,No children,Mid Level,Rotational,Office Only,30-60,>50,1-5,4-5,>20,3,5,4,Rarely,2,10-20,3,3,1,2,2 trips,4,3-5,1,52,MODERATE
18-25,Married,3+ children,Executive / Director,Night,Office Only,30-60,<35,None,6-8,16-20,3,1,3,Often,3,>45,None,0,2,4,2 trips,2,11-15,4,95,GOOD
26-35,Single,1 child,Senior Level,Night,Office Only,<30,>50,>15,6-8,>20,4,5,4,Sometimes,2,<10,1,1,2,1,No travel,1,6-10,2,39,POOR
55+,Married,1 child,Entry Level,11-7,Work From Home,30-60,45-50,1-5,1,11-15,4,5,3,Always,1,30-45,4+,4,4+,3,No travel,3,3-5,2,57,MODERATE
18-25,Divorced,2 children,Senior Level,11-7,Work From Home,>2h,35-40,>15,6-8,0-5,5,1,3,Always,2,30-45,2,2,2,4,2 trips,2,3-5,3,53,MODERATE
46-55,Single,3+ children,Manager / Lead,8-4,Hybrid,>2h,35-40,None,6-8,16-20,1,1,2,Often,1,20-30,4+,4,2,5,1 trip,3,11-15,4,79,GOOD
36-45,Married,3+ children,Mid Level,Rotational,Hybrid,>2h,35-40,6-10,4-5,>20,1,1,1,Sometimes,3,10-20,3,3,2,5,No travel,2,3-5,5,65,MODERATE
46-55,Married,3+ children,Entry Level,Night,Hybrid,30-60,35-40,6-10,2-3,11-15,4,4,1,Often,1,10-20,3,3,2,4,>3 trips,1,<3,4,55,MODERATE
36-45,Single,2 children,Senior Level,Night,Work From Home,1-2h,>50,11-15,4-5,>20,4,2,2,Never,1,10-20,3,3,3,3,3 trips,2,>15,2,47,MODERATE
26-35,Divorced,No children,Executive / Director,11-7,Office Only,>2h,>50,6-10,>8,6-10,4,5,3,Sometimes,3,10-20,1,1,2,3,No travel,2,3-5,4,56,MODERATE
26-35,Married,No children,Senior Level,Rotational,Hybrid,<30,<35,6-10,6-8,>20,4,5,3,Never,3,>45,4+,4,1,4,1 trip,3,11-15,5,60,MODERATE
18-25,Married,1 child,Executive / Director,9-5,Hybrid,No commute,>50,11-15,>8,0-5,4,2,4,Sometimes,3,10-20,None,0,4+,2,2 trips,2,6-10,1,62,MODERATE
26-35,Divorced,No children,Entry Level,9-5,Work From Home,30-60,>50,>15,1,6-10,5,4,4,Often,None,10-20,None,0,2,1,2 trips,3,6-10,1,50,MODERATE
26-35,Widowed,3+ children,Manager / Lead,10-6,Work From Home,No commute,40-45,>15,>8,16-20,5,2,2,Rarely,4+,20-30,1,1,None,4,1 trip,2,<3,2,42,MODERATE
18-25,Single,2 children,Senior Level,Rotational,Hybrid,No commute,35-40,1-5,6-8,0-5,3,2,2,Sometimes,None,<10,None,0,3,3,3 trips,4,>15,5,99,GOOD
