hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,commute_time,wlb_score,wlb_label
40-45,None,4-5,11-15,4.0,4.0,1.0,Often,2,>45,1,1,4.0,3 trips,1.0,<3,2.0,No commute,628.8,MODERATE
35-40,>15,6-8,6-10,4.0,4.0,3.0,Often,2,<10,None,1,4.0,>3 trips,5.0,3-5,4.0,<30,692.8,MODERATE
45-50,6-10,>8,6-10,4.0,4.0,2.0,Often,1,<10,2,4+,4.0,3 trips,3.0,3-5,5.0,1-2h,673.2,MODERATE
45-50,6-10,>8,16-20,2.0,2.0,4.0,Rarely,2,10-20,4+,3,2.0,No travel,5.0,3-5,1.0,>2h,673.9,MODERATE
40-45,11-15,>8,6-10,3.0,3.0,4.0,Sometimes,2,10-20,2,None,3.0,3 trips,5.0,3-5,2.0,>2h,712.5,GOOD
45-50,6-10,>8,11-15,1.0,1.0,2.0,Never,3,30-45,None,4+,1.0,>3 trips,2.0,6-10,5.0,>2h,692.6,MODERATE
45-50,1-5,6-8,6-10,5.0,5.0,2.0,Always,1,30-45,3,4+,5.0,2 trips,1.0,3-5,4.0,No commute,574.5,MODERATE
<35,None,>8,16-20,3.0,3.0,1.0,Sometimes,3,10-20,1,3,3.0,3 trips,5.0,3-5,2.0,<30,630.1,MODERATE
40-45,None,1,16-20,2.0,2.0,5.0,Rarely,2,10-20,2,4+,2.0,>3 trips,5.0,6-10,4.0,>2h,746.5,GOOD
>50,None,4-5,11-15,3.0,3.0,2.0,Sometimes,1,<10,1,3,3.0,3 trips,1.0,<3,2.0,1-2h,591.7,MODERATE
40-45,>15,6-8,6-10,3.0,3.0,2.0,Sometimes,1,>45,3,3,3.0,3 trips,4.0,3-5,4.0,30-60,729.4,GOOD
>50,>15,6-8,16-20,5.0,5.0,1.0,Always,3,<10,None,4+,4.0,2 trips,1.0,11-15,1.0,30-60,593.7,MODERATE
<35,1-5,>8,6-10,1.0,1.0,4.0,Never,1,20-30,2,None,2.0,>3 trips,1.0,>15,5.0,No commute,682.8,MODERATE
35-40,6-10,4-5,6-10,3.0,3.0,4.0,Sometimes,4+,>45,None,4+,2.0,3 trips,3.0,6-10,4.0,<30,723.4,GOOD
45-50,>15,1,11-15,2.0,2.0,2.0,Rarely,2,30-45,4+,1,2.0,2 trips,5.0,11-15,2.0,<30,687.3,MODERATE
<35,6-10,4-5,11-15,3.0,3.0,1.0,Sometimes,None,<10,None,3,4.0,>3 trips,5.0,11-15,2.0,No commute,635.9,MODERATE
45-50,6-10,2-3,6-10,3.0,3.0,2.0,Sometimes,4+,<10,3,None,2.0,1 trip,1.0,11-15,5.0,30-60,655.2,MODERATE
35-40,>15,4-5,>20,2.0,2.0,4.0,Rarely,2,>45,3,2,2.0,>3 trips,2.0,<3,5.0,30-60,652.4,MODERATE
35-40,>15,1,>20,3.0,3.0,4.0,Sometimes,3,<10,4+,2,3.0,3 trips,2.0,>15,2.0,>2h,657.9,MODERATE
<35,1-5,1,0-5,5.0,5.0,5.0,Always,None,<10,None,4+,5.0,3 trips,5.0,<3,5.0,1-2h,686.6,MODERATE
35-40,11-15,1,0-5,3.0,3.0,4.0,Sometimes,1,30-45,3,2,3.0,>3 trips,5.0,>15,3.0,>2h,732.7,GOOD
>50,None,6-8,0-5,2.0,2.0,3.0,Rarely,3,20-30,3,1,2.0,2 trips,5.0,>15,4.0,<30,685.5,MODERATE
35-40,>15,6-8,11-15,2.0,2.0,5.0,Rarely,2,20-30,3,4+,2.0,>3 trips,4.0,>15,5.0,>2h,742.5,GOOD
45-50,>15,2-3,6-10,3.0,3.0,4.0,Sometimes,3,30-45,3,4+,3.0,3 trips,2.0,>15,5.0,<30,663.5,MODERATE
45-50,6-10,4-5,16-20,3.0,3.0,2.0,Sometimes,2,Unknown,1,None,3.0,3 trips,3.0,3-5,5.0,>2h,710.4,GOOD
45-50,11-15,>8,6-10,5.0,5.0,4.0,Always,3,30-45,2,3,4.0,No travel,4.0,>15,5.0,1-2h,658.3,MODERATE
45-50,>15,2-3,6-10,2.0,2.0,2.0,Rarely,1,<10,1,4+,3.0,2 trips,2.0,6-10,5.0,>2h,633.1,MODERATE
>50,11-15,>8,0-5,2.0,2.0,2.0,Rarely,3,20-30,3,4+,2.0,No travel,2.0,6-10,4.0,>2h,677.9,MODERATE
40-45,None,>8,6-10,2.0,2.0,2.0,Rarely,1,10-20,None,4+,3.0,3 trips,2.0,>15,1.0,>2h,640.8,MODERATE
<35,6-10,2-3,0-5,4.0,4.0,1.0,Often,1,>45,1,None,4.0,2 trips,1.0,<3,4.0,<30,557.9,MODERATE
45-50,1-5,4-5,6-10,2.0,2.0,3.0,Rarely,3,20-30,4+,4+,2.0,2 trips,4.0,6-10,5.0,>2h,669.2,MODERATE
35-40,None,>8,16-20,4.0,4.0,2.0,Often,2,30-45,2,3,4.0,2 trips,5.0,6-10,5.0,30-60,712.5,GOOD
45-50,11-15,6-8,>20,3.0,3.0,4.0,Sometimes,2,10-20,None,3,3.0,>3 trips,5.0,<3,1.0,30-60,712.5,GOOD
35-40,11-15,6-8,>20,5.0,5.0,1.0,Always,4+,<10,1,4+,4.0,>3 trips,1.0,<3,1.0,1-2h,571.9,MODERATE
35-40,None,2-3,11-15,5.0,5.0,1.0,Always,4+,<10,2,None,4.0,3 trips,1.0,<3,1.0,No commute,575.3,MODERATE
45-50,11-15,>8,16-20,3.0,3.0,4.0,Sometimes,2,20-30,1,2,3.0,2 trips,1.0,11-15,4.0,>2h,678.1,MODERATE
>50,1-5,2-3,6-10,2.0,2.0,2.0,Rarely,2,30-45,4+,4+,2.0,2 trips,2.0,6-10,2.0,>2h,648.8,MODERATE
35-40,1-5,6-8,16-20,1.0,1.0,2.0,Never,1,30-45,3,4+,2.0,2 trips,5.0,<3,2.0,<30,649.0,MODERATE
35-40,11-15,2-3,6-10,5.0,5.0,2.0,Always,4+,<10,4+,1,4.0,>3 trips,3.0,3-5,1.0,No commute,656.9,MODERATE
45-50,11-15,>8,16-20,3.0,3.0,4.0,Sometimes,1,30-45,3,None,3.0,3 trips,3.0,11-15,3.0,No commute,680.7,MODERATE
35-40,1-5,>8,16-20,3.0,3.0,4.0,Sometimes,1,30-45,2,3,3.0,2 trips,3.0,11-15,3.0,>2h,663.7,MODERATE
35-40,11-15,6-8,>20,1.0,1.0,2.0,Never,2,10-20,1,None,2.0,2 trips,2.0,3-5,2.0,>2h,661.5,MODERATE
45-50,>15,1,16-20,1.0,1.0,1.0,Never,2,<10,1,None,2.0,1 trip,1.0,<3,2.0,>2h,609.7,MODERATE
45-50,6-10,1,11-15,2.0,2.0,4.0,Rarely,3,<10,4+,4+,2.0,No travel,3.0,3-5,5.0,No commute,656.5,MODERATE
<35,>15,4-5,6-10,3.0,3.0,4.0,Sometimes,3,20-30,None,1,3.0,>3 trips,5.0,>15,5.0,30-60,739.5,GOOD
>50,11-15,6-8,0-5,5.0,5.0,4.0,Always,None,10-20,2,4+,5.0,1 trip,2.0,<3,2.0,<30,657.5,MODERATE
>50,11-15,4-5,16-20,4.0,4.0,1.0,Often,None,<10,3,None,5.0,3 trips,1.0,<3,2.0,30-60,528.8,POOR
35-40,6-10,6-8,0-5,3.0,3.0,5.0,Sometimes,1,10-20,2,4+,3.0,No travel,5.0,11-15,5.0,>2h,694.7,MODERATE
>50,11-15,>8,>20,1.0,1.0,5.0,Never,3,<10,4+,None,1.0,3 trips,5.0,3-5,1.0,No commute,662.2,MODERATE
35-40,6-10,6-8,0-5,2.0,2.0,4.0,Rarely,2,10-20,1,3,2.0,>3 trips,2.0,<3,5.0,30-60,704.7,GOOD
<35,1-5,2-3,11-15,2.0,2.0,4.0,Rarely,3,10-20,3,4+,2.0,3 trips,5.0,<3,2.0,No commute,694.0,MODERATE
45-50,6-10,4-5,11-15,2.0,2.0,4.0,Rarely,3,10-20,3,4+,2.0,2 trips,5.0,<3,2.0,>2h,694.0,MODERATE
45-50,6-10,6-8,>20,3.0,3.0,4.0,Sometimes,3,30-45,3,3,3.0,2 trips,4.0,>15,4.0,30-60,709.3,GOOD
45-50,>15,4-5,11-15,5.0,5.0,1.0,Always,1,<10,3,4+,5.0,3 trips,1.0,<3,1.0,No commute,538.8,POOR
>50,11-15,6-8,6-10,1.0,1.0,1.0,Never,3,10-20,2,None,1.0,3 trips,1.0,<3,2.0,1-2h,654.5,MODERATE
<35,1-5,1,11-15,1.0,1.0,5.0,Never,3,<10,2,2,1.0,3 trips,3.0,3-5,2.0,30-60,680.3,MODERATE
>50,None,4-5,16-20,5.0,5.0,1.0,Always,1,<10,4+,4+,5.0,3 trips,1.0,<3,1.0,<30,538.8,POOR
>50,6-10,>8,11-15,4.0,4.0,4.0,Often,1,10-20,1,3,4.0,2 trips,4.0,11-15,4.0,No commute,651.4,MODERATE
<35,None,>8,6-10,2.0,2.0,4.0,Rarely,3,30-45,1,3,2.0,1 trip,5.0,6-10,5.0,>2h,724.7,GOOD
<35,11-15,6-8,>20,2.0,2.0,2.0,Rarely,1,10-20,2,2,3.0,1 trip,2.0,6-10,5.0,>2h,677.5,MODERATE
<35,6-10,>8,11-15,4.0,4.0,3.0,Often,1,>45,4+,None,4.0,3 trips,4.0,<3,5.0,30-60,696.4,MODERATE
<35,None,>8,6-10,4.0,4.0,4.0,Often,3,<10,None,1,3.0,3 trips,5.0,6-10,2.0,>2h,658.4,MODERATE
45-50,>15,4-5,16-20,1.0,1.0,5.0,Never,3,30-45,3,None,1.0,No travel,4.0,3-5,4.0,1-2h,749.7,GOOD
40-45,None,6-8,0-5,1.0,1.0,5.0,Never,3,30-45,1,4+,1.0,3 trips,4.0,3-5,4.0,<30,749.7,GOOD
40-45,>15,4-5,0-5,4.0,4.0,3.0,Often,1,<10,3,3,4.0,1 trip,2.0,11-15,2.0,30-60,676.4,MODERATE
<35,1-5,6-8,>20,4.0,4.0,1.0,Often,1,<10,1,3,4.0,>3 trips,1.0,3-5,2.0,30-60,594.8,MODERATE
40-45,11-15,>8,>20,3.0,3.0,4.0,Sometimes,3,>45,None,None,3.0,>3 trips,4.0,<3,5.0,>2h,758.6,GOOD
40-45,None,6-8,0-5,4.0,4.0,2.0,Often,1,<10,1,None,4.0,3 trips,2.0,<3,2.0,No commute,640.3,MODERATE
<35,6-10,6-8,0-5,2.0,2.0,4.0,Rarely,2,<10,None,4+,2.0,3 trips,1.0,3-5,5.0,>2h,678.1,MODERATE
40-45,11-15,2-3,>20,3.0,3.0,4.0,Sometimes,1,20-30,1,None,3.0,>3 trips,5.0,3-5,5.0,No commute,678.8,MODERATE
>50,None,6-8,0-5,5.0,5.0,1.0,Always,4+,<10,2,2,4.0,No travel,1.0,<3,2.0,>2h,551.5,MODERATE
35-40,6-10,2-3,11-15,5.0,5.0,4.0,Always,1,10-20,3,2,5.0,1 trip,1.0,<3,4.0,No commute,639.2,MODERATE
35-40,6-10,4-5,6-10,3.0,3.0,4.0,Sometimes,2,Unknown,4+,1,3.0,3 trips,5.0,6-10,5.0,No commute,718.7,GOOD
<35,6-10,2-3,>20,3.0,3.0,4.0,Sometimes,2,30-45,4+,3,3.0,3 trips,5.0,6-10,5.0,1-2h,697.9,MODERATE
45-50,6-10,4-5,6-10,3.0,3.0,2.0,Sometimes,2,20-30,1,4+,3.0,No travel,3.0,3-5,2.0,1-2h,670.5,MODERATE
<35,None,6-8,16-20,3.0,3.0,2.0,Sometimes,2,20-30,4+,4+,3.0,1 trip,4.0,>15,5.0,1-2h,666.9,MODERATE
45-50,1-5,4-5,16-20,4.0,4.0,2.0,Often,1,<10,3,None,4.0,3 trips,2.0,>15,4.0,>2h,638.8,MODERATE
35-40,>15,>8,11-15,4.0,4.0,2.0,Often,1,<10,2,3,4.0,1 trip,5.0,3-5,4.0,<30,651.8,MODERATE
<35,>15,6-8,16-20,2.0,2.0,4.0,Rarely,4+,20-30,2,1,2.0,1 trip,1.0,3-5,2.0,1-2h,639.8,MODERATE
>50,>15,2-3,>20,2.0,2.0,2.0,Rarely,2,<10,None,1,2.0,>3 trips,2.0,11-15,2.0,30-60,687.9,MODERATE
40-45,1-5,1,11-15,3.0,3.0,1.0,Sometimes,2,10-20,4+,1,3.0,3 trips,3.0,>15,2.0,<30,593.6,MODERATE
45-50,6-10,6-8,11-15,4.0,4.0,3.0,Often,3,<10,3,3,3.0,>3 trips,5.0,11-15,2.0,30-60,626.7,MODERATE
40-45,6-10,>8,>20,2.0,2.0,4.0,Rarely,1,20-30,4+,1,3.0,1 trip,2.0,<3,5.0,1-2h,658.2,MODERATE
40-45,11-15,4-5,0-5,2.0,2.0,4.0,Rarely,2,<10,3,2,2.0,3 trips,1.0,3-5,1.0,30-60,605.3,MODERATE
<35,>15,2-3,6-10,2.0,2.0,2.0,Rarely,1,30-45,None,None,3.0,2 trips,2.0,6-10,4.0,>2h,645.9,MODERATE
40-45,>15,2-3,>20,2.0,2.0,2.0,Rarely,3,20-30,4+,1,2.0,2 trips,2.0,6-10,1.0,30-60,669.4,MODERATE
>50,6-10,>8,0-5,3.0,3.0,1.0,Sometimes,2,<10,2,2,3.0,No travel,1.0,6-10,1.0,<30,605.4,MODERATE
40-45,>15,>8,0-5,2.0,2.0,4.0,Rarely,1,10-20,None,2,3.0,>3 trips,4.0,11-15,2.0,1-2h,690.9,MODERATE
<35,6-10,6-8,16-20,2.0,2.0,4.0,Rarely,4+,Unknown,4+,4+,2.0,1 trip,5.0,11-15,2.0,30-60,709.4,GOOD
>50,6-10,1,11-15,2.0,2.0,4.0,Rarely,4+,Unknown,2,None,2.0,2 trips,5.0,11-15,2.0,30-60,709.4,GOOD
35-40,6-10,1,11-15,5.0,5.0,5.0,Always,1,<10,2,4+,5.0,3 trips,1.0,3-5,5.0,30-60,627.3,MODERATE
40-45,None,4-5,16-20,5.0,5.0,2.0,Always,3,10-20,3,3,4.0,1 trip,1.0,>15,1.0,30-60,643.5,MODERATE
<35,None,2-3,16-20,1.0,1.0,2.0,Never,2,10-20,2,2,2.0,No travel,1.0,<3,3.0,<30,637.3,MODERATE
35-40,None,6-8,11-15,2.0,2.0,2.0,Rarely,4+,<10,1,4+,1.0,1 trip,3.0,11-15,2.0,No commute,665.3,MODERATE
35-40,None,2-3,>20,2.0,2.0,2.0,Rarely,4+,<10,4+,None,1.0,No travel,3.0,11-15,2.0,>2h,665.3,MODERATE
45-50,1-5,6-8,>20,2.0,2.0,4.0,Rarely,4+,20-30,4+,2,2.0,1 trip,5.0,6-10,2.0,1-2h,714.6,GOOD
>50,11-15,>8,>20,3.0,3.0,4.0,Sometimes,None,20-30,3,1,4.0,3 trips,1.0,6-10,5.0,No commute,649.0,MODERATE
40-45,11-15,4-5,>20,2.0,2.0,4.0,Rarely,2,10-20,2,None,2.0,>3 trips,5.0,3-5,5.0,>2h,717.6,GOOD
<35,6-10,>8,16-20,4.0,4.0,4.0,Often,2,10-20,3,1,4.0,2 trips,5.0,3-5,5.0,30-60,748.2,GOOD
45-50,>15,2-3,6-10,5.0,5.0,2.0,Always,2,<10,1,3,4.0,1 trip,1.0,11-15,2.0,No commute,637.5,MODERATE
>50,None,4-5,6-10,3.0,3.0,2.0,Sometimes,None,10-20,3,1,4.0,1 trip,1.0,11-15,2.0,>2h,628.4,MODERATE
45-50,11-15,6-8,11-15,4.0,4.0,2.0,Often,None,30-45,4+,1,4.0,3 trips,2.0,6-10,2.0,>2h,634.2,MODERATE
>50,11-15,6-8,6-10,4.0,4.0,1.0,Often,4+,<10,3,3,3.0,3 trips,2.0,11-15,2.0,No commute,653.7,MODERATE
>50,None,4-5,>20,3.0,3.0,4.0,Sometimes,3,10-20,4+,3,3.0,2 trips,2.0,6-10,1.0,30-60,656.6,MODERATE
40-45,1-5,>8,16-20,1.0,1.0,5.0,Never,4+,<10,None,1,1.0,1 trip,1.0,>15,2.0,30-60,670.5,MODERATE
>50,1-5,4-5,>20,2.0,2.0,1.0,Rarely,3,<10,1,2,2.0,3 trips,1.0,<3,4.0,1-2h,588.5,MODERATE
45-50,11-15,>8,0-5,3.0,3.0,4.0,Sometimes,3,20-30,1,2,3.0,>3 trips,4.0,3-5,4.0,>2h,672.8,MODERATE
>50,1-5,4-5,16-20,4.0,4.0,4.0,Often,1,10-20,4+,4+,4.0,No travel,5.0,3-5,5.0,1-2h,695.3,MODERATE
40-45,None,>8,0-5,3.0,3.0,3.0,Sometimes,1,<10,None,4+,3.0,No travel,1.0,6-10,2.0,30-60,591.7,MODERATE
40-45,11-15,1,0-5,2.0,2.0,4.0,Rarely,4+,20-30,2,3,2.0,3 trips,5.0,6-10,5.0,>2h,649.0,MODERATE
45-50,None,4-5,11-15,3.0,3.0,4.0,Sometimes,2,30-45,3,None,3.0,2 trips,2.0,>15,5.0,1-2h,708.5,GOOD
35-40,1-5,>8,0-5,1.0,1.0,4.0,Never,1,30-45,2,1,2.0,3 trips,2.0,6-10,2.0,1-2h,673.5,MODERATE
35-40,None,2-3,6-10,4.0,4.0,1.0,Often,None,<10,None,3,4.0,3 trips,1.0,<3,2.0,1-2h,595.3,MODERATE
>50,1-5,2-3,6-10,4.0,4.0,2.0,Often,2,<10,1,3,4.0,No travel,2.0,6-10,5.0,>2h,671.7,MODERATE
<35,1-5,4-5,0-5,4.0,4.0,1.0,Often,None,<10,2,3,4.0,3 trips,2.0,3-5,2.0,<30,625.4,MODERATE
>50,None,4-5,11-15,1.0,1.0,4.0,Never,4+,Unknown,None,2,1.0,2 trips,4.0,6-10,4.0,<30,705.7,GOOD
45-50,1-5,6-8,0-5,2.0,2.0,5.0,Rarely,4+,>45,1,None,2.0,No travel,4.0,>15,5.0,30-60,753.5,GOOD
45-50,6-10,>8,16-20,1.0,1.0,4.0,Never,4+,Unknown,2,2,1.0,No travel,4.0,3-5,5.0,>2h,707.6,GOOD
45-50,None,4-5,16-20,1.0,1.0,4.0,Never,4+,Unknown,1,4+,1.0,No travel,4.0,3-5,4.0,>2h,713.1,GOOD
45-50,6-10,2-3,16-20,2.0,2.0,4.0,Rarely,1,<10,4+,3,3.0,>3 trips,2.0,3-5,1.0,No commute,687.9,MODERATE
45-50,None,2-3,16-20,3.0,3.0,2.0,Sometimes,1,>45,1,2,3.0,1 trip,4.0,3-5,4.0,1-2h,729.4,GOOD
40-45,1-5,2-3,0-5,3.0,3.0,4.0,Sometimes,2,10-20,1,3,3.0,3 trips,5.0,>15,2.0,30-60,665.6,MODERATE
35-40,1-5,>8,>20,2.0,2.0,1.0,Rarely,3,<10,None,None,2.0,>3 trips,2.0,3-5,1.0,>2h,576.8,MODERATE
45-50,11-15,1,>20,5.0,5.0,2.0,Always,1,<10,None,1,5.0,3 trips,2.0,6-10,2.0,No commute,602.5,MODERATE
<35,11-15,4-5,16-20,4.0,4.0,2.0,Often,1,30-45,3,2,4.0,2 trips,5.0,6-10,2.0,No commute,669.2,MODERATE
<35,6-10,1,11-15,2.0,2.0,3.0,Rarely,2,10-20,None,None,2.0,1 trip,1.0,6-10,2.0,>2h,680.7,MODERATE
<35,1-5,>8,11-15,5.0,5.0,2.0,Always,4+,>45,4+,1,4.0,3 trips,2.0,6-10,5.0,30-60,694.7,MODERATE
<35,11-15,4-5,0-5,4.0,4.0,2.0,Often,4+,30-45,4+,3,3.0,3 trips,1.0,<3,2.0,30-60,612.5,MODERATE
40-45,1-5,6-8,>20,3.0,3.0,4.0,Sometimes,2,10-20,1,None,3.0,1 trip,5.0,6-10,4.0,<30,679.2,MODERATE
<35,None,4-5,0-5,3.0,3.0,4.0,Sometimes,3,Unknown,None,4+,3.0,2 trips,2.0,3-5,5.0,<30,677.3,MODERATE
45-50,11-15,4-5,6-10,1.0,1.0,5.0,Never,2,Unknown,3,1,2.0,2 trips,2.0,11-15,5.0,30-60,730.4,GOOD
>50,6-10,4-5,16-20,5.0,5.0,5.0,Always,3,30-45,None,1,4.0,3 trips,3.0,3-5,2.0,No commute,658.4,MODERATE
<35,11-15,4-5,6-10,3.0,3.0,4.0,Sometimes,1,<10,3,3,3.0,1 trip,5.0,3-5,1.0,<30,714.5,GOOD
40-45,1-5,4-5,6-10,5.0,5.0,1.0,Always,1,30-45,1,4+,5.0,No travel,2.0,6-10,5.0,No commute,619.7,MODERATE
40-45,>15,>8,11-15,3.0,3.0,4.0,Sometimes,2,10-20,4+,2,3.0,No travel,2.0,11-15,2.0,<30,672.6,MODERATE
<35,>15,4-5,>20,3.0,3.0,4.0,Sometimes,3,<10,None,None,3.0,>3 trips,1.0,<3,2.0,No commute,602.5,MODERATE
>50,1-5,>8,16-20,3.0,3.0,4.0,Sometimes,2,10-20,None,3,3.0,1 trip,1.0,11-15,2.0,1-2h,689.4,MODERATE
<35,None,4-5,0-5,2.0,2.0,4.0,Rarely,2,Unknown,4+,4+,2.0,2 trips,1.0,>15,3.0,>2h,683.7,MODERATE
40-45,11-15,4-5,16-20,2.0,2.0,4.0,Rarely,2,Unknown,4+,1,2.0,>3 trips,1.0,>15,3.0,30-60,683.7,MODERATE
35-40,>15,>8,0-5,5.0,5.0,4.0,Always,1,Unknown,2,1,5.0,2 trips,1.0,<3,2.0,1-2h,632.9,MODERATE
45-50,None,4-5,0-5,1.0,1.0,2.0,Never,3,10-20,2,1,1.0,>3 trips,2.0,6-10,4.0,30-60,665.8,MODERATE
40-45,1-5,2-3,>20,3.0,3.0,5.0,Sometimes,1,Unknown,2,4+,3.0,2 trips,5.0,>15,3.0,No commute,733.6,GOOD
<35,None,4-5,6-10,2.0,2.0,4.0,Rarely,3,10-20,4+,4+,2.0,3 trips,2.0,>15,5.0,<30,711.0,GOOD
45-50,1-5,6-8,0-5,3.0,3.0,1.0,Sometimes,4+,<10,2,2,2.0,2 trips,1.0,<3,1.0,<30,558.7,MODERATE
<35,11-15,>8,>20,3.0,3.0,5.0,Sometimes,3,Unknown,None,None,3.0,1 trip,2.0,>15,5.0,<30,753.5,GOOD
<35,None,4-5,6-10,2.0,2.0,3.0,Rarely,2,20-30,4+,1,2.0,>3 trips,1.0,3-5,2.0,>2h,636.3,MODERATE
35-40,11-15,4-5,6-10,3.0,3.0,2.0,Sometimes,4+,<10,None,2,2.0,No travel,2.0,11-15,1.0,>2h,604.2,MODERATE
45-50,None,>8,16-20,4.0,4.0,1.0,Often,None,>45,4+,4+,4.0,3 trips,2.0,6-10,4.0,30-60,620.4,MODERATE
45-50,1-5,1,16-20,4.0,4.0,4.0,Often,None,<10,1,2,4.0,2 trips,2.0,6-10,3.0,<30,645.8,MODERATE
35-40,1-5,2-3,16-20,4.0,4.0,3.0,Often,1,10-20,None,1,4.0,No travel,5.0,<3,1.0,1-2h,594.8,MODERATE
40-45,None,2-3,11-15,3.0,3.0,5.0,Sometimes,1,>45,4+,None,3.0,>3 trips,1.0,>15,5.0,30-60,674.9,MODERATE
<35,1-5,4-5,6-10,3.0,3.0,5.0,Sometimes,1,>45,3,2,3.0,3 trips,4.0,6-10,5.0,>2h,715.7,GOOD
>50,6-10,>8,11-15,1.0,1.0,1.0,Never,1,10-20,4+,4+,2.0,3 trips,1.0,<3,1.0,>2h,596.6,MODERATE
<35,6-10,6-8,16-20,1.0,1.0,2.0,Never,3,20-30,1,3,1.0,3 trips,4.0,3-5,2.0,<30,680.5,MODERATE
<35,11-15,4-5,>20,1.0,1.0,2.0,Never,3,20-30,4+,3,1.0,No travel,4.0,3-5,2.0,>2h,680.5,MODERATE
40-45,6-10,2-3,16-20,2.0,2.0,5.0,Rarely,2,>45,1,2,2.0,>3 trips,5.0,11-15,4.0,No commute,715.9,GOOD
